Brand,Company,Date,ProductDescription,Reason,Url
Fullei Fresh,Fullei Fresh,3/8/19,Organic Bean Sprouts,Listeria monocytogenes,https://www.fda.gov/Safety/Recalls/ucm633081.htm
Norbrook,Norbrook Laboratories Limited,3/7/19,"Enroflox® 100 Injection, Noromectin® Injection, Ivermax® 1% Injection",Product sterility cannot be assured,https://www.fda.gov/Safety/Recalls/ucm632955.htm
"Aurobindo Pharma USA, Inc.",American Health Packaging,3/7/19,Valsartan Tablets USP,Due to the Detection of N-Nitrosodiethylamine (NDEA),https://www.fda.gov/Safety/Recalls/ucm632924.htm
Life-Line tm,McDaniel Life-Line LLC,3/5/19,Additive for human drinking water,Potentially contaminated with Pseudomonas aeruginosa,https://www.fda.gov/Safety/Recalls/ucm632843.htm
Apotex Corp.,Apotex Corp.,3/4/19,"Drospirenone and Ethinyl Estradiol Tablets, USP",May Contain Defective Blisters,https://www.fda.gov/Safety/Recalls/ucm632629.htm
Sunstone Organics,Sunstone Organics,3/1/19,White Vein Kratom and Maeng Da Kratom,Potential for Salmonella,https://www.fda.gov/Safety/Recalls/ucm632554.htm
Torrent Pharma,Torrent Pharmaceuticals Limited,3/1/19,Losartan Potassium Tablets USP and Losartan Potassium/hydrochlorothiazide Tablets USP,Contains N-Methylnitrosobutyric acid (NMBA),https://www.fda.gov/Safety/Recalls/ucm632509.htm
"Aurobindo, Acetris","AurobindoPharma USA, Inc.",3/1/19,Valsartan and Amlodipine and Valsartan tablets,"Contains N-nitrosodiethylamine (NDEA),",https://www.fda.gov/Safety/Recalls/ucm632442.htm
"Camber Pharmaceuticals, Inc.","Camber Pharmaceuticals, Inc.",2/28/19,"Losartan Tablets USP 25 mg, 50 mg, and 100 mg",Contains N-Nitroso N-Methyl 4-amino butyric acid (NMBA),https://www.fda.gov/Safety/Recalls/ucm632395.htm
Joy,Joy Gourmet Foods Inc,2/27/19,Joy Brand Chutneys and Pastes,Undeclared sulfites,https://www.fda.gov/Safety/Recalls/ucm632223.htm
Marketside,Southern Specialties Inc.,2/25/19,Green Beans and Butternut Squash,Potential Listeria monocytogenes contamination,https://www.fda.gov/Safety/Recalls/ucm632027.htm
Golean Detox,Golean Detox USA,2/25/19,Dietary Supplement for Weight Loss,Undeclared Sibutramine,https://www.fda.gov/Safety/Recalls/ucm632004.htm
Victoria,"B&G Foods, Inc.",2/25/19,Marinara Sauce,Undeclared cashews,https://www.fda.gov/Safety/Recalls/ucm631992.htm
Bachman,"UTZ Quality Foods, Inc.",2/25/19,Twist Pretzels,Undeclared Milk,https://www.fda.gov/Safety/Recalls/ucm632095.htm
ChemoLock and ChemoClave,"ICU Medical, Inc.",2/25/19,Vial Spikes,Due to the Potential for Burr Particulate,https://www.fda.gov/Safety/Recalls/ucm632065.htm
Macleods,Macleods Pharmaceuticals Limited,2/22/19,Losartan Potassium/Hydrochlorothiazide Combination Tablets,Impurity N-nitroso-diethylamine (NDEA),https://www.fda.gov/Safety/Recalls/ucm631880.htm
Nova Salted Biscuit,Asia Foods Distributor Inc.,2/22/19,Nova Salted Biscuit,Undeclared Milk,https://www.fda.gov/Safety/Recalls/ucm632529.htm
Meijer,Meijer,2/21/19,Ultimate Chocolate Mint Chip Cookies,Undeclared soy,https://www.fda.gov/Safety/Recalls/ucm631919.htm
Gilda Industries,"Gilda Industries, Inc.",2/20/19,Panque – Butter pound cake,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm631720.htm
Concord Fresh Success,Concord Foods,2/19/19,Mild Salsa Seasoning Mix,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm631634.htm
Chukar Cherries,Chukar Cherries,2/18/19,Ultra Dark Chocolate Cherries,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm631537.htm
EnviroKidz,Nature’s Path Foods,2/15/19,"Choco Chimps, Gorilla Munch and Jungle Munch cereals",May contain undeclared gluten (wheat and barley),https://www.fda.gov/Safety/Recalls/ucm631510.htm
DG™,"Kingston Pharma, LLC",2/15/19,Baby Gripe Water herbal supplement,"Undissolved ingredient, citrus flavonoid",https://www.fda.gov/Safety/Recalls/ucm631500.htm
Jansal Valley,Sid Wainer and Son,2/15/19,Dukkah 2.5oz,May contain glass pieces,https://www.fda.gov/Safety/Recalls/ucm631481.htm
Smoked Alaska,"Smoked Alaska Seafoods, Inc",2/15/19,Smoked Silver Salmon,Potential for Clostridium botulinum,https://www.fda.gov/Safety/Recalls/ucm631531.htm
Ottogi,"Ottogi America, Inc",2/12/19,JIN JJAMBBONG’ and Jin Ramen,Undeclared egg,https://www.fda.gov/Safety/Recalls/ucm631285.htm
Bird Seed Food Co.,Bird Seed Food Co.,2/8/19,Granola-Goldenola Turmeric & Ginger,Undeclared cashews,https://www.fda.gov/Safety/Recalls/ucm631041.htm
McDaniel Life-Line,McDaniel Life-Line LLC,2/8/19,Indian Herb (topical),marketed without an approved NDA/ANDA,https://www.fda.gov/Safety/Recalls/ucm631039.htm
WTRMLN WTR,"World Waters, LLC",2/8/19,Cold pressed juiced watermelon,potential presence of soft plastic,https://www.fda.gov/Safety/Recalls/ucm631095.htm
Stacy's,Frito-Lay,2/4/19,Pita Chips,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm630685.htm
Whole Foods Market,Whole Foods Market,2/4/19,Hipster Chipster Cookies,"Undeclared Milk, Egg, Walnuts",https://www.fda.gov/Safety/Recalls/ucm630684.htm
Dr. Reddy’s Laboratories Ltd.,Dr. Reddy’s Laboratories Ltd.,2/4/19,Infusion Bags (Levetiracetram in 0.54% Sodium Chloride Injection),Mislabeling,https://www.fda.gov/Safety/Recalls/ucm630542.htm
Jacques Torres,Jacques Torres Manufacturing LLC,2/4/19,Jacques’ Big Daddy Bar,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm631689.htm
Lifepak,Striker,2/1/19,Defibrillator,Device may lock up after a defibrillation shock is delivered,https://www.fda.gov/Safety/Recalls/ucm630455.htm
Hill's Science Diet,Hill's Pet Nutrition,1/31/19,Canned Dog Food,Elevated Vitamin D levels,https://www.fda.gov/Safety/Recalls/ucm630232.htm
"CVS, Equate","Tris Pharma, Inc.",1/29/19,Oral ibuprofen,Higher levels of ibuprofen concentration,https://www.fda.gov/Safety/Recalls/ucm630112.htm
Silver Bullet,Nature's Rx,1/29/19,Male enhancement nutritional supplement,Undeclared sildenafil and tadalafil,https://www.fda.gov/Safety/Recalls/ucm630104.htm
Oskri,Oskri Organics Corporation,1/28/19,Nut Butters,Listeria monocytogenes,https://www.fda.gov/Safety/Recalls/ucm630036.htm
Whole Foods market,Whole Foods Market,1/24/19,"Pizza, sandwiches, wraps, etc.",Product potentially contaminated with Salmonella,https://www.fda.gov/Safety/Recalls/ucm629788.htm
"Jac. Vandenberg, Inc.","Jac. Vandenberg, Inc.",1/24/19,"Peaches, nectarines, plums",Listeria monocytogenes,https://www.fda.gov/Safety/Recalls/ucm629797.htm
Thrive Market,Thrive Market Inc.,1/24/19,Several varieties of nut butters,Potentially contaminated with Listeria monocytogenes,https://www.fda.gov/Safety/Recalls/ucm629819.htm
Satur Farms,Satur Farms,1/23/19,Baby Spinach and Mesclun,Product potentially contaminated with Salmonella,https://www.fda.gov/Safety/Recalls/ucm629755.htm
Gold Medal,General Mills,1/23/19,Unbleached Flour,Potential Salmonella contamination,https://www.fda.gov/Safety/Recalls/ucm629754.htm
Simple Truth Organic,Perrigo Company,1/23/19,Fruit Puree with Nonfat Greek Yogurt pouch,Undeclared Milk,https://www.fda.gov/Safety/Recalls/ucm629753.htm
Torrent Pharmaceuticals Limited,Torrent Pharmaceuticals Limited,1/22/19,"“losartan potassium tablets, USP; losartan potassium hydrochlorothiazide combination tablets, USP”",due to the detection of trace amounts of N-nitrosodiethylamine (NDEA),https://www.fda.gov/Safety/Recalls/ucm629693.htm
Prinston Pharmaceutical Inc. dba Solco Healthcare LLC,Prinston Pharmaceutical Inc. dba Solco Healthcare LLC,1/18/19,Irbesartan and Irbesartan HCTZ Tablets,"Detection of a Trace Amount of Unexpected Impurity, N- nitrosodiethylamine (NDEA)",https://www.fda.gov/Safety/Recalls/ucm629627.htm
Mrs. Grissom’s Select,Mrs. Grissom’s Salads,1/18/19,Old Fashioned Pimento Cheese,Undeclared Milk,https://www.fda.gov/Safety/Recalls/ucm629807.htm
Ottogi,"Ottogi America, Inc.",1/17/19,Various noodle products,Undeclared egg,https://www.fda.gov/Safety/Recalls/ucm629663.htm
RXBAR,RXBAR,1/15/19,RXBAR bars-several varieties,Undeclared Peanut,https://www.fda.gov/Safety/Recalls/ucm629527.htm
El Guapo,Mohave Foods Corporation,1/15/19,Chile Habanero and Pasilla-Ancho Chile Pods,unlabeled peanut allergen,https://www.fda.gov/Safety/Recalls/ucm629522.htm
Rhino,"Happy Together, Inc.",1/8/19,Rhino 5K capsules,Unapproved new drug,https://www.fda.gov/Safety/Recalls/ucm629353.htm
Sun Pharma,"Sun Pharmaceutical Industries, Inc.",1/8/19,Vecuronium Bromide for Injection,Particulate matter,https://www.fda.gov/Safety/Recalls/ucm629328.htm
Lunch Box,Grand Strand Sandwich Company,1/7/19,Italian Sub and Ham & Cheese Sandwiches and Ham & Swiss Croissants,Potential to be contaminated with Listeria Monocytogenes,https://www.fda.gov/Safety/Recalls/ucm629322.htm
"Lupin Pharmaceuticals, Inc.","Lupin Pharmaceuticals, Inc.",1/5/19,"Ceftriaxone for Injection, USP",Due to products contain visual grey particulate matter in reconstituted vial,https://www.fda.gov/Safety/Recalls/ucm629298.htm
Shamrock Farms,Shamrock Farms,1/4/19,2% Reduced Fat Vanilla Half Gallon Milk,Undeclared almond,https://www.fda.gov/Safety/Recalls/ucm629295.htm
Clancy’s,Olde York Potato Chips,1/4/19,Wavy Potato Chips,Undeclared milk,https://www.fda.gov/Safety/Recalls/ucm629293.htm
Hy-Vee,Hy-Vee Inc.,1/4/19,Cheesecake,Product potentially contaminated with Salmonella,https://www.fda.gov/Safety/Recalls/ucm629310.htm
Torrent Pharmaceuticals Limited,Torrent Pharmaceuticals Limited,1/3/19,"Losartan potassium tablets, USP",due to the detection of trace amounts of N-nitrosodiethylamine (NDEA),https://www.fda.gov/Safety/Recalls/ucm629261.htm
"Oskri, Thrive",Oskri Organics Corporation,1/2/19,Organic Sunflower Butter,Potential Listeria monocytogenes contamination,https://www.fda.gov/Safety/Recalls/ucm629246.htm
