DATE,BRAND_NAME,PRODUCT_DESCRIPTION,REASON,COMPANY,COMPANY_RELEASE_LINK,PHOTOS_LINK
"Thu, 22 Dec 2011 23:40:00 -0500",Let&#39;s Grow Healthy Together,Alfalfa Sprouts,Salmonella,Green Valley Food Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284965.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284966.htm
"Thu, 22 Dec 2011 15:25:00 -0500",AVEA,AVEA Ventilators,Potential risk is associated with certain AVEA ventilators and affected replacement parts,CareFusion,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284812.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284830.htm
"Thu, 22 Dec 2011 00:00:00 -0500",Market Basket,White Albacore Tuna,Undeclared soy,Market Basket,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284705.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284707.htm
"Thu, 22 Dec 2011 00:00:00 -0500","Bivona, FlexTend, Aire-Cuf",Tracheostomy tubes,Difficulty disconnecting the device from connectors,Smiths Medical,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285191.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285193.htm
"Thu, 22 Dec 2011 00:00:00 -0500",INOMAX,INOMAX DS Drug-Delivery System,Erratic nitric oxide monitor readings.,"Ikaria, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285032.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285033.htm
"Thu, 22 Dec 2011 00:00:00 -0500",Let&#39;s Grow Healthy Together,Sprouts,Salmonella,Green Valley Food Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285093.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285094.htm
"Thu, 22 Dec 2011 00:00:00 -0500","Royal Snacks, Nutty Bros, Eillien&#39;s, more",Yogurt Raisins and Granola Mix,Undeclared Peanuts,"Eillien&#39;s Candies, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285080.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285081.htm
"Wed, 21 Dec 2011 00:00:00 -0500",Motrin,Motrin IB Coated Tablets and Motrin IB Coated Caplets,May not dissolve as quickly as intended,McNeil,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284942.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284943.htm
"Wed, 21 Dec 2011 00:00:00 -0500",Cal Fresco,Jalapeño and Serrano chili peppers,Salmonella,"Cal Fresco, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284531.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284539.htm
"Tue, 20 Dec 2011 00:00:00 -0500",Price Chopper,Flavored Cheesecakes,Undeclared Egg,Price Chopper Supermarkets,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285064.htm,
"Tue, 20 Dec 2011 00:00:00 -0500",Eclectic Institute,Dietary Supplements,Salmonella,Eclectic Institute,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284454.htm,
"Tue, 20 Dec 2011 00:00:00 -0500",Gollo,Dominican Bread,Undeclared Milk,Gollo Desserts Bakery,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284321.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284322.htm
"Tue, 20 Dec 2011 00:00:00 -0500",Popcorn Palace,Snack Products,"Undeclared Milk, Soy, Wheat, Tree Nuts , Peanuts",Popcorn Palace,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284383.htm,
"Fri, 16 Dec 2011 00:00:00 -0500",Swanson,Organic Celery Seed,Salmonella,Swanson Health Products,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284034.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284037.htm
"Fri, 16 Dec 2011 00:00:00 -0500",O Organics,Organic Celery Seed,Salmonella,"B&amp;M, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284049.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284050.htm
"Thu, 15 Dec 2011 00:00:00 -0500",Velvet Creme Popcorn,Snack Products,"Undeclared Milk, Soy and Wheat",Velvet Creme Popcorn Co.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283865.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283866.htm
"Thu, 15 Dec 2011 00:00:00 -0500",B/C Topping,Whipped Topping,Undeclared Milk,"Ohio Processors, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284053.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284054.htm
"Wed, 14 Dec 2011 00:00:00 -0500","Naturewise, Producer&#39;s Pride, Dumor &amp; Showmaster",Poultry and Calf whole and cracked corn products,may contain high levels of aflatoxin,Cargill Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm304087.htm,
"Wed, 14 Dec 2011 00:00:00 -0500","Riata, Riata ST",Silicone Endocardial Defibrillation Leads,Potential equipment malfunction,"St. Jude Medical, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283879.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283880.htm
"Wed, 14 Dec 2011 00:00:00 -0500",Petrus,Dry dog food,Aflatoxin,"Petrus Feed and Seed Stores, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285240.htm,
"Wed, 14 Dec 2011 00:00:00 -0500",Starwest,Organic Celery Seed,Salmonella,Starwest Botanicals,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm284456.htm,
"Wed, 14 Dec 2011 00:00:00 -0500",Sunrise,Gummy Bears,Possible metal contamination,"Winn-Dixie Stores, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283665.htm,
"Wed, 14 Dec 2011 00:00:00 -0500",Rising Moon Organics,Ravioli,Undeclared soy,Rising Moon Organics,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283717.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283718.htm
"Tue, 13 Dec 2011 00:00:00 -0500",Dog Power,Dry dog food,Aflatoxin,Advanced Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm290117.htm,
"Tue, 13 Dec 2011 00:00:00 -0500",Arrowbrand,Dry dog food,Aflatoxin,"O&#39;Neal&#39;s Feeders Supply, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm285254.htm,
"Fri, 09 Dec 2011 14:43:00 -0500",Tejava,Iced Tea,Presence of glass fragments,Crystal Geyser Water Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283241.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283261.htm
"Fri, 09 Dec 2011 00:00:00 -0500",Pacific International Marketing,Cilantro,Salmonella,Pacific International Marketing,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283288.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283289.htm
"Thu, 08 Dec 2011 00:00:00 -0500",ASSI,Korean Rice Cake,Undeclared Egg,"Rhee Bros., Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283591.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283598.htm
"Thu, 08 Dec 2011 00:00:00 -0500",Dog Power,Dry dog food,Aflatoxin,Advanced Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283362.htm,
"Tue, 06 Dec 2011 21:36:00 -0500",UNCLE BEN&#39;s,Whole Grain Rice,Undeclared milk,Mars Food US,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282679.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282680.htm
"Tue, 06 Dec 2011 11:56:00 -0500",Iams,Dry dog food,Aflatoxin,Procter &amp; Gamble Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282506.htm,
"Tue, 06 Dec 2011 00:00:00 -0500","River Run, Marksman",Dry dog food,Aflatoxin,Cargill Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282753.htm,
"Tue, 06 Dec 2011 00:00:00 -0500",See&#39;s Candies,Almond Clusters,Undeclared peanuts,"See’s Candies, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282933.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282934.htm
"Mon, 05 Dec 2011 15:12:00 -0500",Race Trac,Sandwiches,Listeria monocytogenes,Flying Food Group,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282415.htm,
"Sat, 03 Dec 2011 00:00:00 -0500",Fair Oaks Farms Fine Cheese,Multiple varieties of cheese,Listeria monocytogenes,"Fair Oaks Dairy Products, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282898.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282905.htm
"Sat, 03 Dec 2011 00:00:00 -0500",Golden Glen Creamery,Northwest Mushroom Trio Butter &amp; Herbes de Provence Butter,Listeria monocytogenes,Golden Glen Creamery,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282259.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282260.htm
"Fri, 02 Dec 2011 20:49:00 -0500",Krasdale,Crispy Honey Oats &amp; Flakes,Undeclared almonds,Krasdale Foods Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282255.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282256.htm
"Fri, 02 Dec 2011 00:00:00 -0500",Argatroban,Argatroban Injection,Potential for presence of visible particulates,"Eagle Pharmaceuticals, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm297069.htm,
"Fri, 02 Dec 2011 00:00:00 -0500",Craisins,Original Flavor Craisins® Dried Cranberries,Presence of metal fragments,Ocean Spray,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282755.htm,
"Thu, 01 Dec 2011 15:10:00 -0500",Nature&#39;s Own,Butterbread,Presence of small aluminum flakes,Flowers Foods,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282216.htm,
"Wed, 30 Nov 2011 00:00:00 -0500",Front Row Produce,Grape Tomatoes (10 oz clamshell containers and 10 lb bulk boxes),Salmonella,Front Row Produce LLC,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281847.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281848.htm
"Fri, 25 Nov 2011 00:00:00 -0500",Ocean Spray,Original Flavor Craisins Dried Cranberries,Presence of metal fragments,Ocean Spray,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281214.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281215.htm
"Wed, 23 Nov 2011 16:28:00 -0500","Valu Time, Food Club",Canned pumpkin,Product does not meet quality standards,"Giant Eagle, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281429.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281588.htm
"Wed, 23 Nov 2011 00:00:00 -0500",Noya,Boyal Dry Fish,Uneviscerated fish poses a potential Clostridium botulism hazard,Four Star Import &amp; Distribution Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281108.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281109.htm
"Wed, 23 Nov 2011 00:00:00 -0500",Munia,Churi Dry Fish,Uneviscerated fish poses a potential Clostridium botulism hazard,Four Star Import &amp; Distribution Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281105.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281106.htm
"Wed, 23 Nov 2011 00:00:00 -0500",Caribbean Rum Balls,Rum Balls,"Undeclared wheat, coconut, milk, eggs and sodium bisulfite",Caribbean Rum Balls,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281082.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281083.htm
"Wed, 23 Nov 2011 00:00:00 -0500",Maxipan Bakery,&quot;Semita De Pina&quot; (Sweet Pineapple Cake),Undeclared milk,Maxipan Bakery Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281151.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281153.htm
"Wed, 23 Nov 2011 00:00:00 -0500","Trans Ocean, Vital Choice, Portico Prime, Portico Bounty, Rain Coast, Mrs. Friday&#39;s, King &amp; Prince, Shirakiku, Cascade Select, Salmon Bay, New Wave, Sockeye Teien","Nova Style Cold Smoked Salmon, Sable Fish Lox, Salmon Sushi Fillets and Salmon Trim",Listeria monocytogenes,King &amp; Prince Seafood Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281097.htm,
"Tue, 22 Nov 2011 00:00:00 -0500",transOCEAN,Smoked Salmon,Listeria monocytogene,"Trans-Ocean Products, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2011/ucm281369.htm,
"Mon, 21 Nov 2011 00:00:00 -0500",El Triunfo,Semita de Piña (Pineapple Jam filled Pastry),Undeclared Dairy,Rio Grande Imports Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280798.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280799.htm
"Fri, 18 Nov 2011 00:00:00 -0500",Maumee Valley Vending Co.,Buffalo Chicken Wedge Sandwiches,Undeclared Milk,Maumee Valley Vending Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280647.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280649.htm
"Fri, 18 Nov 2011 00:00:00 -0500",GFS,Non-Dairy Coffee Creamers,Undeclared Milk,Diamond Crystal Brands Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280682.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280683.htm
"Thu, 17 Nov 2011 18:14:00 -0500",Gentes Foods,Black Bean Tortillas,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280465.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280467.htm
"Wed, 16 Nov 2011 22:19:00 -0500",Smucker&#39;s,Natural Peanut Butter Chunky,Salmonella,J.M. Smucker Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280281.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280282.htm
"Wed, 16 Nov 2011 18:07:00 -0500",Avaira,Contact Lenses,Presense of silicone oil residue,CooperVision,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280274.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280392.htm
"Wed, 16 Nov 2011 00:00:00 -0500","Ready Pac, Trader Joe&#39;s, Raley&#39;s, Others",Bagged Salad Products,E. coli O157:H7,"Ready Pac Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280227.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280230.htm
"Mon, 14 Nov 2011 21:35:00 -0500",FoodMatch Inc. Divina,Stuffed Olives,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279855.htm,
"Thu, 10 Nov 2011 20:13:00 -0500",Gentes Foods,Black Bean Tortillas,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279638.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279772.htm
"Thu, 10 Nov 2011 00:00:00 -0500",Virility Max,Virility Max Dietary Supplement,Contains undeclared drug ingredient sulfoaildenafil,"Keime, Incorporated",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279659.htm,
"Wed, 09 Nov 2011 19:17:00 -0500","FoodMatch Inc. Divina, Tabatchnick",Stuffed Olives and Bean Soup,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279367.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279744.htm
"Wed, 09 Nov 2011 00:00:00 -0500",Kotex,Tampons,Enterobacter sakazakii,Kimberly-Clark,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279588.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279593.htm
"Tue, 08 Nov 2011 21:06:00 -0500",Golden Glen Creamery,Raw Cheddar,Listeria monocytogenes,Golden Glen Creamery,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279166.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279167.htm
"Fri, 04 Nov 2011 22:03:00 -0400",Rice-A-Roni,Rice Pilaf,Undeclared milk,Rice-A-Roni,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278738.htm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278739.htm
