,Date,Brand,ProductDescription,Reason,Company,Url
41,"Thu, 08 Dec 2011 00:00:00 -0500",ASSI,Korean Rice Cake,Undeclared Egg,"Rhee Bros., Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283591.htm
42,"Thu, 08 Dec 2011 00:00:00 -0500",Dog Power,Dry dog food,Aflatoxin,Advanced Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm283362.htm
43,"Tue, 06 Dec 2011 21:36:00 -0500",UNCLE BEN&#39;s,Whole Grain Rice,Undeclared milk,Mars Food US,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282679.htm
44,"Tue, 06 Dec 2011 11:56:00 -0500",Iams,Dry dog food,Aflatoxin,Procter &amp; Gamble Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282506.htm
45,"Tue, 06 Dec 2011 00:00:00 -0500","River Run, Marksman",Dry dog food,Aflatoxin,Cargill Animal Nutrition,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282753.htm
46,"Tue, 06 Dec 2011 00:00:00 -0500",See&#39;s Candies,Almond Clusters,Undeclared peanuts,"See’s Candies, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282933.htm
47,"Mon, 05 Dec 2011 15:12:00 -0500",Race Trac,Sandwiches,Listeria monocytogenes,Flying Food Group,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282415.htm
48,"Sat, 03 Dec 2011 00:00:00 -0500",Fair Oaks Farms Fine Cheese,Multiple varieties of cheese,Listeria monocytogenes,"Fair Oaks Dairy Products, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282898.htm
49,"Sat, 03 Dec 2011 00:00:00 -0500",Golden Glen Creamery,Northwest Mushroom Trio Butter &amp; Herbes de Provence Butter,Listeria monocytogenes,Golden Glen Creamery,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282259.htm
50,"Fri, 02 Dec 2011 20:49:00 -0500",Krasdale,Crispy Honey Oats &amp; Flakes,Undeclared almonds,Krasdale Foods Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282255.htm
51,"Fri, 02 Dec 2011 00:00:00 -0500",Argatroban,Argatroban Injection,Potential for presence of visible particulates,"Eagle Pharmaceuticals, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm297069.htm
52,"Fri, 02 Dec 2011 00:00:00 -0500",Craisins,Original Flavor Craisins® Dried Cranberries,Presence of metal fragments,Ocean Spray,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282755.htm
53,"Thu, 01 Dec 2011 15:10:00 -0500",Nature&#39;s Own,Butterbread,Presence of small aluminum flakes,Flowers Foods,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm282216.htm
54,"Wed, 30 Nov 2011 00:00:00 -0500",Front Row Produce,Grape Tomatoes (10 oz clamshell containers and 10 lb bulk boxes),Salmonella,Front Row Produce LLC,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281847.htm
55,"Fri, 25 Nov 2011 00:00:00 -0500",Ocean Spray,Original Flavor Craisins Dried Cranberries,Presence of metal fragments,Ocean Spray,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281214.htm
56,"Wed, 23 Nov 2011 16:28:00 -0500","Valu Time, Food Club",Canned pumpkin,Product does not meet quality standards,"Giant Eagle, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281429.htm
57,"Wed, 23 Nov 2011 00:00:00 -0500",Noya,Boyal Dry Fish,Uneviscerated fish poses a potential Clostridium botulism hazard,Four Star Import &amp; Distribution Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281108.htm
58,"Wed, 23 Nov 2011 00:00:00 -0500",Munia,Churi Dry Fish,Uneviscerated fish poses a potential Clostridium botulism hazard,Four Star Import &amp; Distribution Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281105.htm
59,"Wed, 23 Nov 2011 00:00:00 -0500",Caribbean Rum Balls,Rum Balls,"Undeclared wheat, coconut, milk, eggs and sodium bisulfite",Caribbean Rum Balls,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281082.htm
60,"Wed, 23 Nov 2011 00:00:00 -0500",Maxipan Bakery,&quot;Semita De Pina&quot; (Sweet Pineapple Cake),Undeclared milk,Maxipan Bakery Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281151.htm
61,"Wed, 23 Nov 2011 00:00:00 -0500","Trans Ocean, Vital Choice, Portico Prime, Portico Bounty, Rain Coast, Mrs. Friday&#39;s, King &amp; Prince, Shirakiku, Cascade Select, Salmon Bay, New Wave, Sockeye Teien","Nova Style Cold Smoked Salmon, Sable Fish Lox, Salmon Sushi Fillets and Salmon Trim",Listeria monocytogenes,King &amp; Prince Seafood Corp.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm281097.htm
62,"Tue, 22 Nov 2011 00:00:00 -0500",transOCEAN,Smoked Salmon,Listeria monocytogene,"Trans-Ocean Products, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2011/ucm281369.htm
63,"Mon, 21 Nov 2011 00:00:00 -0500",El Triunfo,Semita de Piña (Pineapple Jam filled Pastry),Undeclared Dairy,Rio Grande Imports Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280798.htm
64,"Fri, 18 Nov 2011 00:00:00 -0500",Maumee Valley Vending Co.,Buffalo Chicken Wedge Sandwiches,Undeclared Milk,Maumee Valley Vending Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280647.htm
65,"Fri, 18 Nov 2011 00:00:00 -0500",GFS,Non-Dairy Coffee Creamers,Undeclared Milk,Diamond Crystal Brands Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280682.htm
66,"Thu, 17 Nov 2011 18:14:00 -0500",Gentes Foods,Black Bean Tortillas,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280465.htm
67,"Wed, 16 Nov 2011 22:19:00 -0500",Smucker&#39;s,Natural Peanut Butter Chunky,Salmonella,J.M. Smucker Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280281.htm
68,"Wed, 16 Nov 2011 18:07:00 -0500",Avaira,Contact Lenses,Presense of silicone oil residue,CooperVision,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280274.htm
69,"Wed, 16 Nov 2011 00:00:00 -0500","Ready Pac, Trader Joe&#39;s, Raley&#39;s, Others",Bagged Salad Products,E. coli O157:H7,"Ready Pac Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm280227.htm
70,"Mon, 14 Nov 2011 21:35:00 -0500",FoodMatch Inc. Divina,Stuffed Olives,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279855.htm
71,"Thu, 10 Nov 2011 20:13:00 -0500",Gentes Foods,Black Bean Tortillas,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279638.htm
72,"Thu, 10 Nov 2011 00:00:00 -0500",Virility Max,Virility Max Dietary Supplement,Contains undeclared drug ingredient sulfoaildenafil,"Keime, Incorporated",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279659.htm
73,"Wed, 09 Nov 2011 19:17:00 -0500","FoodMatch Inc. Divina, Tabatchnick",Stuffed Olives and Bean Soup,Clostridium botulinum,"United Natural Foods, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279367.htm
74,"Wed, 09 Nov 2011 00:00:00 -0500",Kotex,Tampons,Enterobacter sakazakii,Kimberly-Clark,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279588.htm
75,"Tue, 08 Nov 2011 21:06:00 -0500",Golden Glen Creamery,Raw Cheddar,Listeria monocytogenes,Golden Glen Creamery,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm279166.htm
76,"Fri, 04 Nov 2011 22:03:00 -0400",Rice-A-Roni,Rice Pilaf,Undeclared milk,Rice-A-Roni,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278738.htm
77,"Fri, 04 Nov 2011 20:11:00 -0400",Bio Gaudiano,Olives Stuffed with Almonds,Clostridium botulinum,"Pure Italian, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278734.htm
78,"Fri, 04 Nov 2011 19:14:00 -0400",Assi,Oysters,Norovirus,Korean Farms Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278733.htm
79,"Fri, 04 Nov 2011 18:58:00 -0400",Badia,Pine Nuts,Salmonella,"Badia Spices, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278732.htm
80,"Fri, 04 Nov 2011 11:36:00 -0400",Leslie Leger and Sons Ltd.,Salted Smoked Split Herring,Unevicerated fish poses a potential botulism hazard,Quirch Foods Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278741.htm
81,"Fri, 04 Nov 2011 00:00:00 -0400",Sunrise Commodities,Pine nuts,Salmonella,Sunrise Commodities,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278717.htm
82,"Thu, 03 Nov 2011 20:27:00 -0400",Pangasinan,Smoked Seafood Products,Clostridium botulinum,"Foremost Foods International, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2011/ucm278491.htm
83,"Tue, 01 Nov 2011 00:00:00 -0400",Bio Gaudiano,Olives Stuffed with Almonds,Clostridium botulinum,"Pure Italian, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278254.htm
84,"Mon, 31 Oct 2011 00:00:00 -0400",100% Pure,Eye Shadow,Pseudomonas Luteola,Purity Cosmetics,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278022.htm
85,"Sat, 29 Oct 2011 19:18:00 -0400",Rich Fields,Cookies,Bacillus cereus,Rite Aid,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277738.htm
86,"Fri, 28 Oct 2011 20:24:00 -0400","Rhythm Superfoods, LLC",Kale Chips,Undeclared Cashews,"Rhythm Superfoods, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277727.htm
87,"Fri, 28 Oct 2011 00:00:00 -0400",Eating Right,Soy Protein Burgers,Undeclared milk,"Gardenburger, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277730.htm
88,"Fri, 28 Oct 2011 00:00:00 -0400",Hawaii Candy,Cookies and Wafers,Undeclared Yellow #6,Hawaii Candy,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm278353.htm
89,"Fri, 28 Oct 2011 00:00:00 -0400",Nate&#39;s Spiced Prawns,Prawns,Undeclared Sulfites,Pacific Oyster Company,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277735.htm
90,"Thu, 27 Oct 2011 16:15:00 -0400",Blue Bunny Personals,Ice Cream,Undeclared wheat,"Wells Enterprises, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277552.htm
91,"Wed, 26 Oct 2011 17:38:00 -0400","Wegmans Food Markets, Inc.",Bulk Turkish Pine Nuts,Salmonella,"Wegmans Food Markets, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277393.htm
92,"Wed, 26 Oct 2011 00:00:00 -0400",Emporium Packaging &amp; Spice Co.,Ponchatrain Sauce Mix,Undeclared milk and soy,Emporium Packaging &amp; Spice Co.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277330.htm
93,"Tue, 25 Oct 2011 00:00:00 -0400","Nike All-American, Nike Super Poor Boy",Sandwiches,Listeria Monocytogenes,Landshire Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277377.htm
94,"Mon, 24 Oct 2011 00:00:00 -0400",American Egg Products,Frozen Egg Product,Salmonella,"American Egg Products, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277099.htm
95,"Fri, 21 Oct 2011 00:00:00 -0400",f&amp;e™,Spinach,Listeria monocytogenes,Fresh &amp; Easy Neighborhood Market Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm277024.htm
96,"Fri, 21 Oct 2011 00:00:00 -0400","Yamaya USA, Inc.",Masago (Cappelin Roe),Listeria monocytogenes,"Yamaya USA, Inc.",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm276898.htm
97,"Thu, 20 Oct 2011 17:17:00 -0400",Fiber One,Chocolate Flavor Fiber One 90-Calorie Chewy Bars,Undeclared peanuts and possibly other Allergens,General Mills,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm276724.htm
98,"Thu, 20 Oct 2011 00:00:00 -0400",Nike All-American,Sandwiches,Listeria Monocytogenes,Landshire Inc.,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm276892.htm
99,"Thu, 20 Oct 2011 00:00:00 -0400","Church Brothers, LLC",Bags of clipped spinach,Salmonella,"Church Brothers, LLC",http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm276812.htm
100,"Wed, 19 Oct 2011 15:26:00 -0400",Nancy Adams,Classic Mini S&#39;mores,Undeclared peanuts,Nassau candy,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm276404.htm
101,"Wed, 19 Oct 2011 00:00:00 -0400","Lunds &amp; Byerly&#39;s, Kowalski&#39;s, and Larry Schultz",Organic eggs,Salmonella,Larry Schultz Organic Farm,http://wayback.archive-it.org/7993/20170406200517/https://www.fda.gov/Safety/Recalls/ArchiveRecalls/2013/ucm276901.htm
