Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info,More Code Info,More Code Info,More Code Info
"Veterinary","No","08/22/2019","80582","Terminated","Gilman Cooperative Creamery Association","9920 115th Street NE","","Gilman","MN","	56333","United States","Voluntary: Firm initiated","Telephone","MN","V-0223-2019","Class I","Blend 985 Horse Mix Start","2,000 lbs.","Horse Feed may contain Monensin residue","06/15/2018","08/22/2019","09/10/2019","02/27/2019","Ticket # 445"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0970-2019","Class II","MONTCHV CHEESE GOAT FETA¿","3","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #3404330"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0971-2019","Class II","Capra CHEESE GOAT W/ HNY 4 OZ","1cs/12/4 oz","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #2795905"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0972-2019","Class II","Belgioioso CHEESE GORGONZOLA WHEEL HALF 8#","20cs/8 lb blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #6545537"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0973-2019","Class II","Rivoire CHEESE GRUYERE COMTE BLOCKS 3.5#","7 cs/2/3.5 lb blocks","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7313794"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0974-2019","Class II","ROTHKAS CHEESE GRUYERE GRAND CRU SOS¿","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #2938351"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0975-2019","Class II","CAHILL¿ CHEESE IRISH GUINNESS CHDR¿","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1993355"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0976-2019","Class II","LIGHT COW CHEESE LAUGHING COW BAY BEL¿","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #5018088"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0977-2019","Class II","BELGIO CHEESE MASCARPONE BELIOIOSO¿¿","1cs/12/8 oz pkgs","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #5252974"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0978-2019","Class II","DEMILL CHEESE MONTEREY JACK¿","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1917006"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0979-2019","Class II","Arezzio Imperial CHEESE MOZZ FRSH OVOLINI 4 OZ","36","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #2389252"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0980-2019","Class II","DEMILL CHEESE PARMESAN GRATE IMP¿","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1691043"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0981-2019","Class II","Great Lakes CHEESE PEPPER JACK SLI .5 OZ & .75 OZ","17cs of .5 oz & 63cs of .75 oz","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #8315453 .5 oz & #7018134 .75 oz"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0982-2019","Class II","BELGIO CHEESE PROVOLONE MED PICCANTE¿","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #6287637"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0983-2019","Class II","Great Lakes CHEESE PROVOLONE SLI .5 OZ","64","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7018149"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0984-2019","Class II","DEMILL CHEESE ROMANO GRTD TUB¿","2","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1691050"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0985-2019","Class II","WIDMERS CHEESE SPREAD BRICK AGED¿","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1435688"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0986-2019","Class II","Great Lakes CHEESE SWISS A CUT","20","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4714778"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0987-2019","Class II","Harbor Seafood CRAB MEAT BACKFIN PAST ASIA","9","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4351064"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0988-2019","Class II","Sea Wings CRAB MEAT CLAW PAST ASIA  ","184","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4351064"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0989-2019","Class II","Majestic Blue CRAB MEAT CLAW PAST MEX","8","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4962249"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0990-2019","Class II","CRAB MEAT CLAW PSTRZD ASIA Sold under the brand names of Chicken of the Sea & Sebastian Superior","COTS = 31; Superior 29","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","Chicken of the Sea SUPC #3756889 & Superior SUPC #4351092"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0991-2019","Class II","Pacific Harbor CRAB MEAT HAANII JMBO LUMP CHN","62","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #3488568"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0992-2019","Class II","Van Camp CRAB MEAT HAANII LUMP PAST","105","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7042193"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0993-2019","Class II","Quality Crab CRAB MEAT JMBO LUMP NC","5","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4726974"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0994-2019","Class II","Chicken of the Sea CRAB MEAT JMBO LUMP PSTRZD","4","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #1887197"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0995-2019","Class II","Quality Crab CRAB MEAT LUMP NC","14","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4726962"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0996-2019","Class II","Sea Wings CRAB MEAT PAST JMBO LUMP ASIA","12","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #8305561"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0997-2019","Class II","Sea Wings CRAB MEAT PAST SUPER LUMP ASIA","22","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #8305551"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0998-2019","Class II","Sea Wings CRAB MEAT SPECIAL PAST ASIA","143","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #8305536"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-0999-2019","Class II","Pacific Cove CRAB MEAT SPECIAL PAST IND","30","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #3291073"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-1000-2019","Class II","Harbor Seafood CRAB MEAT SUPER LUMP PAST ASIA","12","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4351050"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-1001-2019","Class II","Majestic Blue CRAB MEAT SUPER LUMP PAST MEX","20","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #4962223"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-1002-2019","Class II","Chicken of the Sea CRAB MEAT SUPER LUMP PSTRZD","4","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #7176615"
"Food","No","","81491","Completed","Sysco Charlotte","4500 Corporate Dr NW","","Concord","NC","	28027-9603","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was shipped to GA, NC & SC.","F-1003-2019","Class II","CABOT CREAM WHIPPED ARSL CANS¿","1","The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.","11/01/2018","02/19/2019","","02/27/2019","SUPC #6019457"
