Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Food","No","","72173","Terminated","Del Monte Fresh Produce N A Inc","6311 Deramus Ave","","Kansas City","MO","	64120-1358","United States","Voluntary: Firm Initiated","Telephone","Texas, Oklahoma, Arkansas, Kansas","F-0436-2016","Class I","Cross Valley Farms cucumbers, 24 count corrugated carton","2356 cases","Possible contamination with Salmonella.","09/10/2015","12/28/2015","04/12/2016","01/06/2016","7563200"
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0453-2016","Class I","Helados La Tapatia ;  Cookies 'n' Cream Biscuits au Chocolat; Net Wt. 4 oz, (113g)  UPC 6 34242 60007 2;    INGREDIENTS FOR ICE FRUIT BARS:  ICE CREAM MIX (CREAM, MILK, FRESH CONDENSED SKIM  MILK, SUCROSE, CORN SYRUP. DESSERT SOLIDS (WHEY,  REDUCED LACTOSE, WHEY AND NON FAT DRIED MILK) AND  STABILIZER (GUAR GUM, MONO, AND DIGLYCERIDESJ,  CALCIUM SORBATE, POLYSORBATE 40, CELLULOSE GUM  AND CARRAGENAN),WATER, CHOCOLATE COOKIES AND SUGAR.  MAY CONTAIN ALMONDS, PEANUTS, CASHEWS,HAZELNUTS, PECANS AND/OR WALNUTS.    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","1,104 units","Product has undeclared allergens: soy and wheat. .","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 60007 2;   lot number ¿286 15 15¿   lot number ¿286 15 16¿    ."
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0454-2016","Class I","Helados La Tapatia ;  Granola; Net Wt. 4 oz, (113g)  UPC 6 34242 60012 6;  INGREDIENTS FOR ICE MILK BARS:  ICE CREAM MIX (CREAM, MILK, FRESH CONDENSED SKIM  MILK, SUCROSE, CORN SYRUP. DESSERT SOLIDS (WHEY,  REDUCED LACTOSE, WHEY AND NON FAT DRIED MILK) AND  STABILIZER ( GUAR GUM, MONO, AND DIGLYCERIDES),  CAI.,CIUM SORBATE, POLYSORBATE 40, CEllUlOSE GUM  AND CARRAGENAN), WATER, WHOLE ROASTED OAT FlAKES,  RAISINS, COCONUT FlAKES, SUGAR.  MAY CONTAIN ALMONDS, PEANUTS, CASHEWS,  HAZELNUTS, PECANS AND/OR WALNUTS.    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","1,104 units","Product has undeclared allergens:  soy and almonds.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 60012 6;  lot numbers 286 15 06 and 286 15 07  ."
"Food","No","","72519","Terminated","Helados La Tapatia, Inc.","4495 W Shaw Ave","","Fresno","CA","	93722-6206","United States","Voluntary: Firm Initiated","Press Release","CA, NV, WA and AZ","F-0455-2016","Class I","Helados La Tapatia ;  Cafe Coffee; Net Wt. 3 fl. oz.  UPC 6 34242 60013 5;  INGREDIENTS FOR ICE MILK BARS:  ICE CREAM MIX (MILK FAT AND NON FAT MILK, SUGAR, CORN SYRUP, MONO AND DIGLYCERIDES, CELLULOSE GUM, GUAR GUM, POLYSORBATE 80, CARRAGEENAN), WATER, SUGAR, GROUND COFFEE AND STABILIZER (XANTHAN GUM, GUAR GUM, STANDARDIZED WITH DEXTROSE).   PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS CONTAINING PEANUTS, TREE NUTS, SOY, WHEAT AND MILK.  CONTAINS MILK.           .    Mfg by:  Helados La Tapatia, Inc.  Fresno, CA 93772  Plant # 06-02536F","0 units","Product was produced with an ice cream mix that contains eggs that is not included in the ingredient labeling.","10/27/2015","12/29/2015","02/08/2017","01/06/2016","UPC 6 34242 20013 5;  lot numbers 281 15 02 and 289 15 03  ."
"Food","No","","72565","Terminated","Tate's Wholesale, Llc.","62 Pine St","","East Moriches","NY","	11940-1117","United States","Voluntary: Firm Initiated","Press Release","Nationwide in U.S.","F-0440-2016","Class I","TATE'S BAKE SHOP CHOCOLATE CHIP COOKIES, NET WT. 7 OZ (198 G), UPC Code 810291001002, product is packed in plastic which is inserted into green paper wrapping, DISTRIBUTED BY: TATE'S BAKE SHOP 43 NORTH SEA RD. SOUTHAMPTON NY 11968 631-780-6511, WWW.TATEBAKESHOP.COM, MADE IN THE U.S.A.","1065 cases","Tate's Bake Shop has recalled Chocolate Chip Cookies and Ginger Zinger Cookies due to the presence of undeclared walnuts.","11/04/2015","12/29/2015","04/17/2017","01/06/2016","Outer Case Code 15.09.22 - BEST BY MAR 20 2016"
"Food","No","","72565","Terminated","Tate's Wholesale, Llc.","62 Pine St","","East Moriches","NY","	11940-1117","United States","Voluntary: Firm Initiated","Press Release","Nationwide in U.S.","F-0441-2016","Class I","TATE'S BAKE SHOP Cookies GINGER ZINGER GLUTEN FREE, NET WT. 7 OZ (198 G), UPC Code 810291001095, product is packed in plastic which is inserted into a mint green paper wrapper, DISTRIBUTED BY: TATE'S BAKE SHOP 43 NORTH SEA RD. SOUTHAMPTON NY 11968 631-780-6511, WWW.TATEBAKESHOP.COM, MADE IN THE U.S.A.","0","Tate's Bake Shop has recalled Chocolate Chip Cookies and Ginger Zinger Cookies due to the presence of undeclared walnuts.","11/04/2015","12/29/2015","04/17/2017","01/06/2016","Outer Case Code 15.07.08 - BEST BY JAN 04 2016"
"Food","No","","72728","Terminated","Raley's","500 W Capitol Ave","","Broderick","CA","	95605-2624","United States","Voluntary: Firm Initiated","E-Mail","CA and NV","F-0444-2016","Class I","Raley's Sweet Pumpkin Ravioli;  Fresh egg pasta with a pumpkin & Amaretti Biscuits filling.  Net Wt. 10 oz. (284 g);  Ingredients: Filling- pumpkin, bread crumbs (wheat flour, natural yeast, salt), Butter Amaretti Biscuits (sugar, apricot kernels, egg whites, lactose, milk protein, leavening- sodium hydrogen carbonate(, salt..  Pasta - soft wheat flour, pasteurized eggs, durum wheat seminola:  Contains eggs, milk, wheat, gluten;    Proudly distributed by Raley's West Sacramento, CA  Product of Italy.","305 cases","Raley's was notified by the manufacturer that their Pumpkin Ravioli may contain undeclared cashew and almond.","11/17/2015","12/29/2015","12/29/2015","01/06/2016","UPC  046567021218; All lots"
"Food","No","","72105","Terminated","Barilla America NY, Inc.","100 Horseshoe Boulevard","","Avon","NY","	14414","United States","Voluntary: Firm Initiated","E-Mail","FLA, MA, MD, MI, NJ, NY & PA","F-0458-2016","Class II","Barilla MEDIUM SHELLS, 1 LB (454 g), GTIN 00076808002881, packed as twelve boxes in 1 case","43 cases","Barilla America NY, Inc. has recalled four types of pasta due to the presence of aluminum fragments","07/02/2015","12/30/2015","05/08/2017","01/06/2016","Lot Code 5745U05"
"Food","No","","72105","Terminated","Barilla America NY, Inc.","100 Horseshoe Boulevard","","Avon","NY","	14414","United States","Voluntary: Firm Initiated","E-Mail","FLA, MA, MD, MI, NJ, NY & PA","F-0459-2016","Class II","Barilla Pronto PENNE, 12 OZ (340 g), GTIN number 10076808005605, packed as 16 boxes per case, sold as individual units at retailer.","82 cases","Barilla America NY, Inc. has recalled four types of pasta due to the presence of aluminum fragments","07/02/2015","12/30/2015","05/08/2017","01/06/2016","Lot Codes: 5745U05 & 5755U05"
"Food","No","","72105","Terminated","Barilla America NY, Inc.","100 Horseshoe Boulevard","","Avon","NY","	14414","United States","Voluntary: Firm Initiated","E-Mail","FLA, MA, MD, MI, NJ, NY & PA","F-0460-2016","Class II","Barilla Packaged Specifically for FoodService, PENNE RIGATE, 160 OZ (10 LBS) (4.54 kg), GTIN 1007680839242, packed as two bags per case.","6,178 cases","Barilla America NY, Inc. has recalled four types of pasta due to the presence of aluminum fragments","07/02/2015","12/30/2015","05/08/2017","01/06/2016","Lot Code: 5755U05, 5765U05"
"Food","No","","72105","Terminated","Barilla America NY, Inc.","100 Horseshoe Boulevard","","Avon","NY","	14414","United States","Voluntary: Firm Initiated","E-Mail","FLA, MA, MD, MI, NJ, NY & PA","F-0461-2016","Class II","Barilla  PENNE, 8 X 1 LB (454 g) BOXES, [NET WT. 8 LB (3.63 kg)], GTIN 10076808034360, packed as a Multi-unit box, 8 units per case for sale at club stores.","9,360 cases","Barilla America NY, Inc. has recalled four types of pasta due to the presence of aluminum fragments","07/02/2015","12/30/2015","05/08/2017","01/06/2016","Lot Code: 5755U05, 5765U05"
"Food","No","","72299","Terminated","Amcane Sugar Llc","21010 Trolley Industrial Dr","","Taylor","MI","	48180-1841","United States","Voluntary: Firm Initiated","Telephone","IL, GA, WI, KY","F-0437-2016","Class II","Bulk refined sugar.  CON AA in 50lb paper bags, 2000 and 2200 poly super totes  ","526,000 lbs","Foreign material in product, small pieces of brass less than 7mm.","09/04/2015","12/28/2015","06/13/2018","01/06/2016","Manufacturing Pans 6510 and 6511.  Customer specific lot numbers as idenified in individual recall notices:  6260-5219;  6394-5227;  6518-5227;  6260-5233;  6394-5233;  6515-5210;  6544-5225;  6547-5230;  6570-5233;  6511-5209;  6513-5210;  6509-5204;  6509-5209;  6515-5213;  6524-5222;  6518-5224."
"Food","No","","72299","Terminated","Amcane Sugar Llc","21010 Trolley Industrial Dr","","Taylor","MI","	48180-1841","United States","Voluntary: Firm Initiated","Telephone","IL, GA, WI, KY","F-0438-2016","Class II","Bulk refined sugar.  CON AAA in 2200 poly super totes  ","169,400 lbs","Foreign material in product, small pieces of brass less than 7mm.","09/04/2015","12/28/2015","06/13/2018","01/06/2016","Manufacturing Pans 6510 and 6511.  Customer specific lot numbers as idenified in individual recall notices:  6510-5204;  6522-5210;  6513-5211;  6518-5217;  6546-5224;  6547-5225;  6572-5233."
"Food","No","","72299","Terminated","Amcane Sugar Llc","21010 Trolley Industrial Dr","","Taylor","MI","	48180-1841","United States","Voluntary: Firm Initiated","Telephone","IL, GA, WI, KY","F-0439-2016","Class II","Bulk refined sugar.  Sanding in 50 lb paper bags  ","196,500 lbs","Foreign material in product, small pieces of brass less than 7mm.","09/04/2015","12/28/2015","06/13/2018","01/06/2016","Manufacturing Pans 6510 and 6511.  Customer specific lot numbers as idenified in individual recall notices:  6525-5211;  6352-5218;  6546-5226;  6515-5225;  6544-5230."
"Food","No","","72339","Terminated","The Dough Shop Pizza Dough Shop, Inc.","12257 Nicollet Ave","","Burnsville","MN","	55337-1650","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","WI","F-0457-2016","Class II","CPT05 5 Ounce Pizza Dough Ball, 112 - 5 Ounce Dough Balls, Net Weight 35.0 Pounds, UPC 1 081267 0012644 4..","18 cases","The Dough Shop is recalling one lot of pizza dough because a piece of vinyl glove was found in the product.","10/01/2015","12/29/2015","03/09/2016","01/06/2016","09022015-2"
"Food","No","","72349","Terminated","Pure Source, Inc.","9750 Nw 17th St","","Doral","FL","	33172-2753","United States","Voluntary: Firm Initiated","Letter","Pure Source, Inc manufactured the recalled product for Baker's Best Health Products, Inc.  They sold all of the the products to Baker's Best Health Products, Inc. in Wixom, MI who then distributed the products to their customers via catalog sales and internet sales.    Baker's Best Health Products, Inc. distributed product throughout the U.S.","F-0456-2016","Class II","Baker's Best Maximum Mind & Memory Formula, 60 capsules, Vitamin B6 75 mg.  Distributed by Baker's Best Health Products, Inc. Wixom, MI","2,185 bottles","Vitamin B6 level below percent declared on label","09/25/2015","12/29/2015","03/21/2017","01/06/2016","Lot #080115, Exp 01/2018"
