Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info,More Code Info
"Food","No","","70816","Terminated","Supervalu","7075 Flying Cloud Dr","","Eden Prairie","MN","	55344","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: IL, MN, MN, MO, NC, VA.","F-2080-2015","Class I","Essential Everyday Chocolate Covered Raisins, Net Wt. 32 oz.  in Clear plastic tub with black lid. UPC Code 41303-05311","43 cases (12 / case)","Supervalu is recalling Essential Everyday Chocolate Covered Raisins because the product may contain undeclared peanuts.","03/20/2015","04/28/2015","07/22/2015","05/06/2015","ALL LOTS"
"Food","No","","70848","Terminated","Red River Foods Inc","9020 Stony Point Parkway, Ste. 380","","Richmond","VA","	23235-1944","United States","Voluntary: Firm Initiated","Telephone","The product was distributed to several states. - NJ, RI, TX, OH, AL","F-2141-2015","Class I","Style 2 South  Africa Macadamia Nuts,","13750 lbs","Baltimore District Office  was notified by the Dallas District Office  that they had received results of positive salmonella from some macadamia nuts distributed by a repacker here in Texas.    The repacker contacted their supplier, Red River Foods which is HQ in Virginia.  The supplier wishes to initiate a voluntary recall of the product.","03/26/2015","04/29/2015","09/01/2015","05/06/2015","Refrig-it Lot 78791"
"Food","No","","70871","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD, OH, PA, WV","F-2033-2015","Class I","CHEESE DANISH 2 COUNT;  PLU: 59779;  NET WT 6.0 oz.;  CONTAINS: WHEAT, SOY, MILK;    In clear plastic clamshell","27, 928 units","Products contain undeclared egg.","03/26/2015","04/24/2015","05/27/2015","05/06/2015","Sell By: (up to and including) 3/28/15;"
"Food","No","","70871","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD, OH, PA, WV","F-2034-2015","Class I","DANISH WITH FRUIT  2 COUNT;  PLU: 69779;  NET WT 6.0 oz.;  CONTAINS: WHEAT, SOY, MILK;    In clear plastic clamshell","136,099 units","Products contain undeclared egg.","03/26/2015","04/24/2015","05/27/2015","05/06/2015","Sell By: (up to and including) 3/28/15;   PLU: 69779"
"Food","No","","70871","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD, OH, PA, WV","F-2035-2015","Class I","BOLILLO ROLLS 6 COUNT;   PLU: 27754;  NET WT: 11OZ.;  CONTAINS: WHEAT, SOY  ","2357 - 6 PK UNITS","Products contain undeclared egg.","03/26/2015","04/24/2015","05/27/2015","05/06/2015","Sell By: (up to and including) 3/28/15;   PLU: 27754"
"Food","No","","70871","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD, OH, PA, WV","F-2036-2015","Class I","BOLILLO WHEAT ROLL;   PLU: 97754;  NET WT: 14oz.;  Contains: Wheat, Soy  ","625 packages","Products contain undeclared egg.","03/26/2015","04/24/2015","05/27/2015","05/06/2015","Sell By: (up to and including) 3/28/15;   PLU: 97754"
"Food","No","","70880","Terminated","Navajo Agricultural Products Industry dba Flour Milling","245 Road 4063","","Farmington","NM","	87499","United States","Voluntary: Firm Initiated","Letter","Nationwide to AZ, NM, TX, and UT. No foreign/VA/govt/military.","F-2090-2015","Class I","Navajo Pride Bleached All Purpose Flour in 50 lb, 25 lb, and 5 lb Cloth Bags by Navajo Agricultural Products Industry.","42,175 lbs","Navajo Agricultural Products Industry is conducting a recall of Bleached All Purpose Flour due to the contamination with Salmonella.","03/30/2015","04/28/2015","06/24/2015","05/06/2015","LOT #075B110064; Item # NPFM1BL25C,NPFM1BL05C, NPFM1BL50P; PO#6084879661, 7013546171, 6090672641, 187995; Best before date of March 16, 2016"
"Food","No","","70881","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD OH PA WV","F-2077-2015","Class I","Heat & Serve Fried Fish   Sell By: (up to and including) 4/02/15    PLU: 37156   Contains Fish (Pangasus), Soy, Wheat   Giant Eagle   Distributed by: Giant Eagle, inc., Pittsburgh, PA 15238  ","730 units","Giant Eagle recalls store produced RTE Fried Fish, Lemon Meringue Pie and Coconut Meringue Pie for undeclared allergens.","03/29/2015","04/27/2015","05/18/2015","05/06/2015","Sell By: (up to and including) 04/02/15  PLU: 37156"
"Food","No","","70881","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD OH PA WV","F-2078-2015","Class I","8"" Lemon Meringue Pie  Sell by: (up to and including) 04/02/15   PLU: 9971  Net Wt: 22oz.  Contains: Wheat, Soy, Egg    ","Lemon Meringue - 153 units;","Giant Eagle recalls store produced RTE Fried Fish, Lemon Meringue Pie and Coconut Meringue Pie for undeclared allergens.","03/29/2015","04/27/2015","05/18/2015","05/06/2015","Sell By: (up to and including) 04/02/15  PLU: 9971"
"Food","No","","70881","Terminated","Giant Eagle, Inc.","101 Kappa Dr","","Pittsburgh","PA","	15238-2809","United States","Voluntary: Firm Initiated","E-Mail","MD OH PA WV","F-2079-2015","Class I","8"" Coconut Meringue Pie  Sell By: 04/02/15  PLU: 9963  Net Wt: 25oz.  Contains: Wheat, Soy, Coconut, Egg  ","Coconut Meringue Pie - 94 units","Giant Eagle recalls store produced RTE Fried Fish, Lemon Meringue Pie and Coconut Meringue Pie for undeclared allergens.","03/29/2015","04/27/2015","05/18/2015","05/06/2015","Sell By: (up to and including) 04/02/15  PLU: 9971 (lemon meringue)"
"Food","No","","70892","Terminated","Hope Foods, LLC dba Hope HUmmus","1850 Dogwood St","","Louisville","CO","	80027-3079","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Nationwide.  No foreign/govt/VA/military.","F-2076-2015","Class I","Organic Hummus HOPE Kale Pesto Spread Good Things, Net Wr 8 oz (227g), Best By date of 05/04/15.","3088 units","Hope Foods is voluntarily recalling one lot of Kale Pesto Hummus because it contains undeclared walnuts.","03/31/2015","04/27/2015","06/24/2015","05/06/2015","Lot Code of 030215-KP, UPC is 8-56500-00426-6"
"Food","No","","70934","Terminated","Sabra Dipping Company, LLC","15900 Sabra Way","","Colonial Heights","VA","	23834-5935","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was distributed nationwide.","F-2082-2015","Class I","Sabra Classic Hummus 10 oz  UPC  040822011143 / 300067,   Sabra Dipping Co. LLC, White Plains, NY","17840 Cases","Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.      ","04/07/2015","04/28/2015","08/26/2015","05/06/2015","UPC/SKU    040822011143 / 300067"
"Food","No","","70934","Terminated","Sabra Dipping Company, LLC","15900 Sabra Way","","Colonial Heights","VA","	23834-5935","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was distributed nationwide.","F-2083-2015","Class I","Sabra Classic Hummus 30 oz  UPC  040822014687 / 300074 ,   Sabra Dipping Co. LLC, White Plains, NY    ","513 Cases","Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.      ","04/07/2015","04/28/2015","08/26/2015","05/06/2015","UPC/SKU    040822014687 / 300074"
"Food","No","","70934","Terminated","Sabra Dipping Company, LLC","15900 Sabra Way","","Colonial Heights","VA","	23834-5935","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was distributed nationwide.","F-2084-2015","Class I","Sabra Classic Hummus without Garnish 32oz  UPC 040822342049 / 301216   Sabra Dipping Co. LLC, White Plains, NY","357 Cases","Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.      ","04/07/2015","04/28/2015","08/26/2015","05/06/2015","UPC/SKU    040822342049 / 301216"
"Food","No","","70934","Terminated","Sabra Dipping Company, LLC","15900 Sabra Way","","Colonial Heights","VA","	23834-5935","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was distributed nationwide.","F-2085-2015","Class I","Sabra Classic Hummus, 17oz Six Pack UPC 040822017497 / 301290  Sabra Dipping Co. LLC, White Plains, NY","9312 Cases","Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.      ","04/07/2015","04/28/2015","08/26/2015","05/06/2015","UPC/SKU    040822017497 / 301290"
"Food","No","","70934","Terminated","Sabra Dipping Company, LLC","15900 Sabra Way","","Colonial Heights","VA","	23834-5935","United States","Voluntary: Firm Initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The product was distributed nationwide.","F-2086-2015","Class I","Sabra Roasted Garlic Hummus, Classic Hummus packed in 2/23.5 oz plastic tub/package. UPC 040822342209, Sabra Dipping Co. LLC, White Plains, NY   ","796 Cases","Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.      ","04/07/2015","04/28/2015","08/26/2015","05/06/2015","UPC/SKU    040822342209 / 301283"
"Biologics","No","","50952","Terminated","Department of the Air Force","4881 Sugar Maple Dr","","Wright Patterson AFB","OH","	45433-5546","United States","Voluntary: Firm Initiated","Letter","Maryland, Washington, Korea, and Afghanistan","B-0544-15","Class II","Fresh Frozen Plasma","2 units","Blood products, which were incorrectly tested for HIV/HCV NAT using expired reagents, were distributed.","11/18/2008","04/29/2015","04/29/2015","05/06/2015","W001608702715, W001608702745"
"Biologics","No","","50952","Terminated","Department of the Air Force","4881 Sugar Maple Dr","","Wright Patterson AFB","OH","	45433-5546","United States","Voluntary: Firm Initiated","Letter","Maryland, Washington, Korea, and Afghanistan","B-0545-15","Class II","Red Blood Cells","59 units","Blood products, which were incorrectly tested for HIV/HCV NAT using expired reagents, were distributed.","11/18/2008","04/29/2015","04/29/2015","05/06/2015","W001608702711, W001608702714, W001608702716, W001608702727, W001608702728, W001608702729, W001608702730, W001608702731, W001608702733, W001608702735, W001608702736, W001608702738, W001608702740, W001608702742, W001608702751, W001608702785, W001608702788, W001608702794, W001608702795, W001608702796, W001608704314, W001608704318, W001608704633, W001608704635, W001608704636, W001608704637, W001608704640, W001608704647, W001608704652, W001608704654, W001608704656, W001608704661, W001608704666, W001608704667, W001608704668, W001608704669, W001608704730, W001608702493, W001608702495, W001608702496, W001608702718, W001608702720, W001608702725, W001608702726, W001608702743, W001608702744, W001608702745, W001608702746, W001608702747, W001608702748, W001608702749, W001608702750, W001608702786, W001608702787, W001608704319, W001608704641, W001608704657, W001608704658, W001608704659"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2046-2015","Class II","Woodsmen's American Seasoning  Net Weight 13 oz; and 3.2 oz    Distributed by:   WOODSMEN'S AMERICAN SEASONING, LINESVILLE, PA 16424    UPC: 32489; 35765    LOT #: 212281      ","483 units","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 32489; 35765    LOT #: 212281"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2047-2015","Class II","BACK STREET BBQ #1132 Net Weight: 24oz  Con Yeager Spice Company, Zelienople, PA 16063   Item # 33357-31755  Lot # .213240  ","171 untis","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","Item # 33357-31755  Lot # .213240"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2048-2015","Class II","CATULLO KANSAS CITY BARBECUE BUTCHER RUB	Net Weight: 5.5 oz 	UPC: 38786	 Lot # .219286  KANSAS CITY BARBECUE BUTCHER RUB  	NET Weight: 11 oz  	UPC: 38842	Lot # .219286  KANSAS CITY BARBECUE BUTCHER RUB	NET WEIGHT: 7.6 lb		UPC: 	38787 LOT #: .219286  CATULLO PRIME MEAT, YOUNGSTOWN BUTCHER SHOP, POLAND, OH 44515   ","158 units","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC:       38842, 38787, 38786  Lot #      .219286"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2049-2015","Class II","Con Yeager Spice Company, Zelienople, PA 16063  PAPA WOOD BBQ ALL PURPOSE RUB    NET WEIGHT: 12 oz and 5.22 oz  UPC: 38756; 38755  Lot: .219098      ","578 units","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 38756; 38755  Lot: .219098"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2050-2015","Class II","CON YEAGER SPICE COMPANY	BBQ PITT BEEF SEASONING 12oz   ITEM # 38345-38767	 Lot: .212023","135 UNITS","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","ITEM #: 38345-38767  Lot: .212023"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2051-2015","Class II","CATULLO PRIME MEAT, YOUNGSTOWN BUTCHER SHOP, POLAND, OH 44515     CATULLO BUCKEYE BUTCHER RUB  7.6 lb	UPC: 38729  Lot # .215527  CATULLO BUCKEYE BUTCHER RUB 11.2 OZ     UPC: 38729  Lot # .215527","133 units","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 38729, 38357  Lot # .215527"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2052-2015","Class II","SHIRKS CAJUN ANDOUILLE 5.9 lb PK	  Con Yeager Spice Company, Zelienople, PA 16063	  UPC: 38725   Lot: .210704; .210705    ","45 UNITS","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 38725   Lot: .210704; .210705"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2053-2015","Class II","FFM FIREHOUSE CHILI RM000405 30 lb	  Con Yeager Spice Company, Zelienople, PA 16063	  UPC: 38018	  Lot: .213599; 213600  ","105 UNITS","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 38018   Lot: .213599; 213600"
"Food","No","","70208","Terminated","Con Yeager Spice Co","144 Magill Rd","","Zelienople","PA","	16063-3424","United States","Voluntary: Firm Initiated","Letter","AZ, CO, DE, FL, GA, IL, LA, MD, MI, MT, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WV","F-2054-2015","Class II","BARBECUE SP RIB RUB 50 lb.	  Con Yeager Spice Company, Zelienople, PA 16063	  UPC: 37636	  Lot # .215294  ","250 LBS.","Cumin and cumin containing spice mixes may contain undeclared peanuts.","01/06/2015","04/27/2015","11/05/2015","05/06/2015","UPC: 37636   Lot # .215294"
