Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Veterinary","No","","78865","Ongoing","Pet Apothecary Llc","8850 N Port Washington Rd","","Milwaukee","WI","	53217-1676","United States","Voluntary: Firm initiated","Telephone","IL","V-0099-2018","Class I","Phenobarbital Capsule, 6 MG. The Pet Apothecary, 407 W. Silver Spring Dr., Milwaukee, WI 53217.  NDC: 38779-0852-05","60 capsules","Animal drug is superpotent.","10/20/2017","06/28/2018","","06/06/2018","Lot: 224590"
"Food","No","","79714","Terminated","Ohio Hickory Harvest Brand Products Inc.","90 Logan Pkwy","","Akron","OH","	44319-1177","United States","Voluntary: Firm initiated","Telephone","Product was only distributed in the following states:  AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WY.","F-1496-2018","Class II","Heinens Organic Nut Mix Net Wt. 9 oz (255g) Distributed By Heinens, Warrensville Hts., OH 44128  UPC 0-36232-01871-1","40 Cases with 6 tubs per case","The firm received positive test results for Listeria monocytogenes in a product that was housed in the same storage bin.","04/10/2018","05/30/2018","07/16/2018","06/06/2018","Lot # 031919"
"Food","No","","79714","Terminated","Ohio Hickory Harvest Brand Products Inc.","90 Logan Pkwy","","Akron","OH","	44319-1177","United States","Voluntary: Firm initiated","Telephone","Product was only distributed in the following states:  AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WY.","F-1497-2018","Class II","Hickory Harvest Island Fruit Mix NET WT 9 oz (255g) Distributed by: Hickory Harvest Foods, Akron, OH 44319 UPC 0-36232-06052-9","200 Cases with 9 bags per case","The firm received positive test results for Listeria monocytogenes in a product that was housed in the same storage bin.","04/10/2018","05/30/2018","07/16/2018","06/06/2018","Lot # 032019"
"Food","No","","79714","Terminated","Ohio Hickory Harvest Brand Products Inc.","90 Logan Pkwy","","Akron","OH","	44319-1177","United States","Voluntary: Firm initiated","Telephone","Product was only distributed in the following states:  AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WY.","F-1498-2018","Class II","Liberty Snacks Natural PISTACHIOS Net Wt. 1 oz (#g) DISTRIBUTED BY Liberty Candy & Nuts Inc. 347.945.0540  libertysnacks@gmail.com UPC 8-04879-17158-4","208 Cases with 72 packages per case","The firm received positive test results for Listeria monocytogenes in a product that was housed in the same storage bin.","04/10/2018","05/30/2018","07/16/2018","06/06/2018","Lot # 032019"
"Food","No","","79714","Terminated","Ohio Hickory Harvest Brand Products Inc.","90 Logan Pkwy","","Akron","OH","	44319-1177","United States","Voluntary: Firm initiated","Telephone","Product was only distributed in the following states:  AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WY.","F-1499-2018","Class II","Liberty Snacks Honey Roasted CASHEWS Net Wt. 1.2 oz (#g) DISTRIBUTED BY Liberty Candy & Nuts Inc. 347.945.0540 libertysnacks@gmail.com UPC 8-04879-17154-4","156 Cases with 72 packages per case","The firm received positive test results for Listeria monocytogenes in a product that was housed in the same storage bin.","04/10/2018","05/30/2018","07/16/2018","06/06/2018","Lot # 032119"
"Food","No","","79714","Terminated","Ohio Hickory Harvest Brand Products Inc.","90 Logan Pkwy","","Akron","OH","	44319-1177","United States","Voluntary: Firm initiated","Telephone","Product was only distributed in the following states:  AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WY.","F-1500-2018","Class II","Liberty Snacks Raw ALMONDS Net Wt. 1.3 oz (#g) DISTRIBUTED BY Liberty Candy & Nuts Inc. 347.945.0540 libertysnacks@gmail.com UPC 8-04879-17157-7","208 Cases with 72 packages per case","The firm received positive test results for Listeria monocytogenes in a product that was housed in the same storage bin.","04/10/2018","05/30/2018","07/16/2018","06/06/2018","Lot # 031919"
"Food","No","","79714","Terminated","Ohio Hickory Harvest Brand Products Inc.","90 Logan Pkwy","","Akron","OH","	44319-1177","United States","Voluntary: Firm initiated","Telephone","Product was only distributed in the following states:  AL, AR, AZ, CA, CO, CT, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA and WY.","F-1501-2018","Class II","Liberty Snacks NUTS ALMOND RAISIN Mix Net Wt. 1.6 oz (#g) DISTRIBUTED BY Liberty Candy & Nuts Inc. 347.945.0540 libertysnacks@gmail.com UPC 8-04879-17158-7","52 Cases with 72 packages per case","The firm received positive test results for Listeria monocytogenes in a product that was housed in the same storage bin.","04/10/2018","05/30/2018","07/16/2018","06/06/2018","Lot # 032019"
"Biologics","No","","79757","Terminated","Terumo BCT, Inc.","10811 W Collins Ave","","Lakewood","CO","	80215-4440","United States","Voluntary: Firm initiated","Letter","US and OUS (Albania, Algeria, Argentina, Australia, Austria, Azerbaijan, Bahrain, Bangladesh, Belgium, Bolivia, Bosnia-Herz, Brazil, Brunei Daruss,  Bulgaria, Canada, Chile, China, Colombia, Costa Rica,Cote d'Ivoire, Croatia, Czech Republic, Denmark, Dominican Rep., Dutch Antilles, Ecuador, Egypt, El Salvador, Estonia, Ethiopia, Finland, France, French Guayana, Georgia,  Germany, Greece, Guadeloupe, Guatemala, Hong Kong, Hungary, Iceland,  India, Indonesia, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Japan, Jordan,  Kazakhstan, Kenya, Kuwait, Lebanon, Libya, Lithuania, Luxembourg,  Malaysia, Malta, Martinique, Mayotte, Mexico, Moldova, Mongolia, Morocco  Myanmar, Nepal, Netherlands, New Zealand, Norway, Oman, Pakistan, Palestine, Panama, Paraguay, Peru, Poland, Portugal, Qatar, Reunion  Romania, Russian Fed., Saudi Arabia, Serbia, Singapore, Slovenia, Slovakia, South Africa, South Korea, Spain, Sri Lanka, Sudan, Sweden, Switzerland  Syria, Taiwan, Thailand, Tunisia, Turkey, Ukraine, United Kingdom, Uruguay   Utd.Arab Emir., Vatican City, Vietnam)","B-0568-2018","Class II","Spectra Optia Apheresis System,  61000, 61001, 61002","4,978 devices","Spectra Optia Apheresis Systems, containing a software defect or glitch that is associated with a potential safety risk, were distributed.","03/30/2018","05/31/2018","03/20/2019","06/06/2018","Optia (61000, 61001, 61002); All serial numbers"
"Devices","No","","79762","Ongoing","Gyrus Acmi, Incorporated","136 Turnpike Rd","","Southborough","MA","	01772-2118","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution - USA (nationwide) Distribution to the states of :   AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, TN, TX, UT, VA, WA, WI, WV, and WY., and to the countries of :  Japan, Canada, Mexico, Australia, and EU.","Z-1952-2018","Class II","Gyrus ACMI Reusable Active Cord for Bovie/ValleyLab Generators, Catalog No C650-129A (00821925008700)    The cord consists of a single conductor stranded wire terminated with plugs that connect to a generator on one end and a plug that connects to a Gyrus ACMI working element on the other end. They are provided non-sterile and are reusable. The cord is designed to be used with Gyrus ACMI GOCUS 640, Bovie, and other general purpose monopolar electrosurgical generators and appropriate electrodes and endoscopes.","6447","There is a potential for the cord to spark and cause a fire.","04/17/2018","05/29/2018","","06/06/2018","All lots manufactured before December 7, 2017    UDI (00821925008700)"
"Devices","No","","79822","Ongoing","Torax Medical, Inc.","4188 Lexington Ave N","","Shoreview","MN","	55126-6106","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution: US (nationwide) in states of: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY; and in countries of: Austria, France, Germany, Italy, Scotland, Spain, Switzerland, United Kingdom.","Z-2037-2018","Class II","LINX Reflux Management System, Implant Suture, 12-17 Bead, 0.7T, Product Code LS-xx, sterile, Rx only.  Labeled as:    a. Product Code LS-12;    b. Product Code LS-13;   c. Product Code LS-14;    d. Product Code LS-15;    e. Product Code LS-16;    f. Product Code LS-17;       Laparoscopic, fundic-sparing anti-reflux procedure indicated for patients diagnosed with Gastroesophageal Reflux Disease (GERD) as defined by abnormal pH testing, and who are seeking an alternative to continuous acid suppression therapy (i.e. proton pump inhibitors or equivalent) in the management of their GERD.","9,131 devices in total","Possible out of specification condition which may allow a bead component to separate from an adjacent wire link. This condition may result in a discontinuous or open LINX device.","04/20/2018","05/31/2018","","06/06/2018","a. Product Code LS-12, Part No. 2170-6, GTIN 00855106005011;    b. Product Code LS-13, Part No. 2170-7, GTIN 00855106005028;   c. Product Code LS-14, Part No. 2170-8, GTIN 00855106005035;    d. Product Code LS-15, Part No. 2170-9, GTIN 00855106005042;    e. Product Code LS-16, Part No. 2170-10, GTIN 00855106005059;    f. Product Code LS-17, Part No. 2170-11, GTIN 00855106005066;      Lot No. 6100 through 14055, 15286, 15287, 15314, 15315, 15317, and 16557"
"Devices","No","","79822","Ongoing","Torax Medical, Inc.","4188 Lexington Ave N","","Shoreview","MN","	55126-6106","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution: US (nationwide) in states of: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY; and in countries of: Austria, France, Germany, Italy, Scotland, Spain, Switzerland, United Kingdom.","Z-2038-2018","Class II","LINX Reflux Management System, Implant Clasp, 12-17 Bead, 0.7T, Product Code LXC-xx, sterile, Rx only.  Labeled as:    a. Product Code LXC-12;    b. Product Code LXC-13;   c. Product Code LXC-14;    d. Product Code LXC-15;    e. Product Code LXC-16;    f. Product Code LXC-17;       Laparoscopic, fundic-sparing anti-reflux procedure indicated for patients diagnosed with Gastroesophageal Reflux Disease (GERD) as defined by abnormal pH testing, and who are seeking an alternative to continuous acid suppression therapy (i.e. proton pump inhibitors or equivalent) in the management of their GERD.","9,131 devices in total","Possible out of specification condition which may allow a bead component to separate from an adjacent wire link. This condition may result in a discontinuous or open LINX device.","04/20/2018","05/31/2018","","06/06/2018","a. Product Code LXC-12, Part No. 3718-12, GTIN 00855106005134;    b. Product Code LXC-13, Part No. 3718-13, GTIN 00855106005141;   c. Product Code LXC-14, Part No. 3718-14, GTIN 00855106005158;    d. Product Code LXC-15, Part No. 3718-15, GTIN 00855106005165;    e. Product Code LXC-16, Part No. 3718-16, GTIN 00855106005172;    f. Product Code LXC-17, Part No. 3718-17, GTIN 00855106005189;      Lot No. 6100 through 14055, 15286, 15287, 15314, 15315, 15317, and 16557"
"Devices","No","","79822","Ongoing","Torax Medical, Inc.","4188 Lexington Ave N","","Shoreview","MN","	55126-6106","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution: US (nationwide) in states of: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY; and in countries of: Austria, France, Germany, Italy, Scotland, Spain, Switzerland, United Kingdom.","Z-2039-2018","Class II","LINX Reflux Management System, Implant Clasp, 13-17 Bead, 1.5T, Product Code LXMC-xx, sterile, Rx only.  Labeled as:    a. Product Code LXMC-13;    b. Product Code LXMC-14;   c. Product Code LXMC-15;    d. Product Code LXMC-16;    e. Product Code LXMC-17;         Laparoscopic, fundic-sparing anti-reflux procedure indicated for patients diagnosed with Gastroesophageal Reflux Disease (GERD) as defined by abnormal pH testing, and who are seeking an alternative to continuous acid suppression therapy (i.e. proton pump inhibitors or equivalent) in the management of their GERD.","9,131 devices in total","Possible out of specification condition which may allow a bead component to separate from an adjacent wire link. This condition may result in a discontinuous or open LINX device.","04/20/2018","05/31/2018","","06/06/2018","a. Product Code LXMC-13, Part No. 4550-13, GTIN 00855106005332;   b. Product Code LXMC-14, Part No. 4550-14, GTIN 00855106005349;    c. Product Code LXMC-15, Part No. 4550-15, GTIN 00855106005356;    d. Product Code LXMC-16, Part No. 4550-16, GTIN 00855106005363;    e. Product Code LXMC-17, Part No. 4550-17, GTIN 00855106005370;      Lot No. 6100 through 14055, 15286, 15287, 15314, 15315, 15317, and 16557"
"Devices","No","","79822","Ongoing","Torax Medical, Inc.","4188 Lexington Ave N","","Shoreview","MN","	55126-6106","United States","Voluntary: Firm initiated","Letter","Worldwide Distribution: US (nationwide) in states of: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY; and in countries of: Austria, France, Germany, Italy, Scotland, Spain, Switzerland, United Kingdom.","Z-2040-2018","Class II","LINX Reflux Management System, Implant Clasp, 12-17 Bead, 0.7T, Product Code LX-xx, sterile, Rx only.  Labeled as:    a. Product Code LX-12;    b. Product Code LX-13;   c. Product Code LX-14;    d. Product Code LX-15;    e. Product Code LX-16;    f. Product Code LX-17;       Laparoscopic, fundic-sparing anti-reflux procedure indicated for patients diagnosed with Gastroesophageal Reflux Disease (GERD) as defined by abnormal pH testing, and who are seeking an alternative to continuous acid suppression therapy (i.e. proton pump inhibitors or equivalent) in the management of their GERD.","9,131 devices in total","Possible out of specification condition which may allow a bead component to separate from an adjacent wire link. This condition may result in a discontinuous or open LINX device.","04/20/2018","05/31/2018","","06/06/2018","a. Product Code LX-12, Part No. 2684-12, GTIN 00855106005073;    b. Product Code LX-13, Part No. 2684-13, GTIN 00855106005080;   c. Product Code LX-14, Part No. 2684-14, GTIN 00855106005097;    d. Product Code LX-15, Part No. 2684-15, GTIN 00855106005103;    e. Product Code LX-16, Part No. 2684-16, GTIN 00855106005110;    f. Product Code LX-17, Part No. 2684-17, GTIN 00855106005127;      Lot No. 6100 through 14055, 15286, 15287, 15314, 15315, 15317, and 16557"
